Frequency,S11_Magnitude,S11_Phase,S12_Magnitude,S12_Phase,S21_Magnitude,S21_Phase,S22_Magnitude,S22_Phase,
613204102,-6.953705296,-146.6869671,-46.28625439,-155.613262,0.6237445824,-64.44231555,-43.56388419,151.9204471,
616205102,-6.957680098,-147.1858635,-46.2669306,-155.731797,0.5982266843,-65.53723761,-44.06924543,154.6714878,
619206103,-6.962348529,-147.6730135,-46.11852211,-157.2292162,0.5716515036,-66.64248815,-44.5783164,159.5418945,
622207103,-6.962664311,-148.1202017,-46.29863276,-158.0139048,0.5447198292,-67.76342757,-45.14208949,163.7975764,
625208104,-6.970045104,-148.6833108,-46.11809443,-157.0909622,0.5236109174,-68.91355218,-45.79156142,167.4979289,
628209104,-6.966961039,-149.1788822,-45.97877195,-159.5457844,0.5003871297,-69.99283908,-46.00451613,171.657592,
631210105,-6.971657908,-149.7225615,-46.0650082,-158.1131547,0.483792221,-71.14990545,-46.78037696,176.5479221,
634211105,-6.972454359,-150.2951502,-45.96534364,-161.06802,0.4670698233,-72.25402157,-47.90959188,178.8832573,
637212106,-6.97397416,-150.8060277,-46.16693752,-161.498079,0.4470623979,-73.41309852,-49.03051477,-175.4444213,
640213106,-6.970283905,-151.3397854,-46.4411548,-158.6408318,0.4334282626,-74.49779661,-50.02584398,-174.3728848,
643214107,-6.964515705,-151.8839018,-46.03639037,-161.9281763,0.413602988,-75.59922553,-52.03203164,-173.785504,
646215107,-6.956374581,-152.4159777,-46.05873267,-162.665053,0.3957153645,-76.6973646,-52.72551859,-169.2629551,
649216108,-6.943072001,-152.9325742,-45.88785302,-164.5156447,0.3741519557,-77.80792638,-55.36040337,-171.6091017,
652217108,-6.942876387,-153.4001162,-45.98577038,-163.8670977,0.3482029143,-78.86771153,-58.67539044,175.0659651,
655218109,-6.93876696,-153.8281732,-46.07871909,-165.3588197,0.3240790324,-80.01748495,-59.80097631,162.4186137,
658219109,-6.940715053,-154.2397333,-45.95680465,-166.0080523,0.2970770902,-81.07667733,-60.49647997,137.8082923,
661220110,-6.938861442,-154.744949,-45.86838135,-167.5726645,0.2760177749,-82.20580774,-60.65135514,122.3303279,
664221110,-6.946308872,-155.1514273,-45.73208978,-168.3128501,0.2455746221,-83.33256039,-56.16809073,98.29575808,
667222111,-6.942687687,-155.6241777,-45.93103987,-167.701721,0.2315854065,-84.44836043,-54.2204734,98.67877072,
670223111,-6.943589724,-156.1075361,-45.8470656,-169.3106787,0.212111601,-85.54134944,-52.98407918,97.1886152,
673224112,-6.947748436,-156.6019973,-45.77009777,-170.2971531,0.1949838115,-86.67446297,-50.65245071,96.04781144,
676225112,-6.950013631,-157.1020756,-45.75161116,-171.8026262,0.1724668907,-87.72528945,-49.69195068,99.09034931,
679226113,-6.951145664,-157.5497608,-45.81468634,-172.2546808,0.1583284841,-88.81558217,-48.84338809,101.9326628,
682227113,-6.949813372,-158.0500788,-45.72221988,-174.6635795,0.1427624836,-89.87076501,-48.24728279,104.3428663,
685228114,-6.948147042,-158.6025919,-46.00114858,-175.0052777,0.1190894658,-90.94654883,-47.29325359,107.6922191,
688229114,-6.948978581,-159.0932109,-45.76853977,-176.0746494,0.09984963546,-91.98779236,-46.83287559,109.7905065,
691230115,-6.937557749,-159.6639017,-45.61594809,-176.7769836,0.07458972058,-93.06416286,-46.4400081,112.9157809,
694231115,-6.929364348,-160.1608297,-45.84979971,-175.9853441,0.05084930587,-94.14071027,-46.14264352,116.9362765,
697232116,-6.92917609,-160.6295532,-45.81105203,-179.4673397,0.02857541687,-95.20379802,-45.57040642,119.2030864,
700233116,-6.927911372,-161.1126253,-45.80049245,-179.298139,-0.001656860655,-96.31005909,-45.12595493,121.1221118,
